,0,1,2
0,4.5687735e-05,0.00019250778,1.5275516e-07
1,-5.404048e-06,4.9300103,-2.1247613e-06
2,7.3704104,-7.1956697e-06,5.310093
3,1.7225082e-05,4.5293105e-05,8.09588e-06
4,2.0745325,3.1538553,4.5640116
5,3.1710093e-05,1.9033266,3.143611e-05
6,8.2407474e-05,5.392231,-4.5440644e-05
7,0.99096817,1.0692992,2.9810855
8,-2.3277624e-05,0.00025858558,4.3653975
9,-0.00019442648,-2.2315044e-05,1.6365849e-06
10,-2.147203e-05,-3.5963092e-06,0.6136809
11,1.0260789,1.6739863e-05,2.141073
12,-1.049352e-05,-0.00015665918,7.98248e-05
13,-3.8594906e-05,1.5084071,2.4470357e-05
14,3.329531,0.19650032,2.114027
15,9.217309e-06,1.5611377,0.0001725418
16,-9.978197e-06,-8.035158e-05,-1.2515879e-05
17,3.6019528,1.0002257,1.1876671
18,2.667849,-2.5427325e-06,2.3200846
19,0.63624644,-2.174797e-05,-0.00014299469
