,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0
0,0,0.11499573290348053,0.11071702092885971,0.004274982493370771,3.727477178472327e-06,0.0,60,0.0
1,5,0.046292733401060104,0.04201440513134003,0.004274964798241854,3.3619130590523127e-06,0.0,60,0.0
2,10,0.035185642540454865,0.03090769797563553,0.004274921491742134,3.0225596674426924e-06,0.0,60,0.0
3,15,0.03361424803733826,0.029336676001548767,0.004274855833500624,2.7128819510835456e-06,0.0,60,0.0
4,20,0.03306444734334946,0.028787199407815933,0.004274814855307341,2.436206159472931e-06,0.0,60,0.0
5,25,0.03220689296722412,0.027929946780204773,0.004274751991033554,2.1926425688434392e-06,0.0,60,0.0
6,30,0.0303427055478096,0.0260662529617548,0.004274464678019285,1.9875521957146702e-06,0.0,60,0.0
7,35,0.026974041014909744,0.022698447108268738,0.004273761995136738,1.8307935079064919e-06,0.0,60,0.0
8,40,0.023325227200984955,0.01905045658349991,0.004273052327334881,1.7196514363604365e-06,0.0,60,0.0
9,45,0.02086785063147545,0.016592763364315033,0.004273427650332451,1.6613962543488014e-06,0.0,60,0.0
10,50,0.01917640119791031,0.014900946989655495,0.004273866768926382,1.5877808436925989e-06,0.0,60,0.0
